Size(Bytes),MallocTime(ns),FreeTime(ns)
1,161,86
2,47,55
4,41,36
8,39,35
16,40,36
32,43,35
64,41,38
128,41,36
256,43,41
512,39,41
1024,39,37
2048,58,35
4096,6153,82
8192,4219,41
16384,3953,35
32768,3937,37
65536,3988,38
131072,6578,42
262144,3974,42
524288,3988,41
1048576,4049,40
2097152,4208,40
4194304,6005,38
8388608,4494,40
