Size(Bytes),MallocTime(ns),FreeTime(ns)
1,132,86
2,39,35
4,38,35
8,32,34
16,37,35
32,35,36
64,36,34
128,37,33
256,35,50
512,72,35
1024,36,36
2048,37,37
4096,4033,70
8192,3861,45
16384,3777,38
32768,3779,36
65536,3848,38
131072,4202,42
262144,6634,48
524288,4399,41
1048576,3862,45
2097152,4196,40
4194304,4338,35
8388608,4334,46
