Size(Bytes),MallocTime(ns),FreeTime(ns)
1,196,110
2,38,37
4,46,40
8,37,56
16,48,38
32,42,37
64,39,39
128,36,37
256,38,34
512,37,35
1024,36,35
2048,43,37
4096,6151,56
8192,3922,35
16384,4148,43
32768,3857,41
65536,4927,41
131072,5415,44
262144,4846,37
524288,3993,37
1048576,3953,38
2097152,4398,47
4194304,5678,36
8388608,4392,41
