Time(ns),Utilization(%)
1486502,94.05
1487358,93.13
1491590,93.71
1499428,93.78
1504047,94.31
1512481,94.35
1522144,94.41
1530054,94.44
1532537,94.46
1535689,94.68
1540404,95.00
1548090,95.03
1550233,95.05
1558195,95.09
1565903,95.10
1566745,94.79
1567518,94.50
1575651,94.54
1584964,94.57
1593138,94.60
1601417,94.64
1604091,94.93
1612662,94.96
1613443,94.55
1621768,94.59
1624721,94.73
1627649,95.23
1635828,95.27
1639221,95.28
1640010,95.22
1647878,95.23
1648715,95.07
1649560,94.28
1654639,94.78
1662430,94.83
1664948,94.89
1672998,94.93
1693845,94.97
1694705,94.56
1695438,94.00
1703904,94.05
1704784,94.00
1705526,93.79
1706203,93.02
1709668,93.25
1714309,93.78
1719442,94.12
1722194,94.25
1722961,93.88
1728046,94.43
1731204,94.57
1739445,94.60
1748035,94.63
1751862,94.83
1752581,94.43
1753246,93.60
1758418,93.97
1759217,93.63
1767359,93.68
1768181,93.37
1768884,93.23
1773546,93.96
1775949,93.98
1776772,93.40
1781194,93.94
1790646,93.97
1791463,93.16
1793139,93.46
1801378,93.51
1804185,93.66
1804928,92.92
1805588,92.06
1808473,92.44
1809266,92.39
1817422,92.45
1822577,93.29
1823370,92.78
1828629,93.34
1829405,92.88
1832745,93.09
1836519,93.50
1844714,93.55
1850777,93.91
1853106,94.01
1854086,93.52
1858104,94.12
1858906,94.02
1864519,94.55
1865267,93.92
1869486,94.29
1870188,93.57
1872463,93.63
1873174,93.26
1873869,93.11
1895658,93.20
1896496,92.60
1901197,93.27
1901929,92.50
1902617,92.45
1907514,92.88
1910753,93.00
1919338,93.06
1922227,93.12
1922938,93.07
1923758,92.56
1924508,92.36
1933188,92.42
1943255,92.47
1948538,92.81
1952303,93.06
1954835,93.13
1962971,93.18
1971397,93.23
1979855,93.27
1980666,92.99
1983363,93.06
1986282,93.30
1994921,93.36
2000920,93.89
2005269,94.34
2007857,94.41
2008749,93.78
2009529,93.18
2012593,93.36
2021178,93.41
2022081,92.67
2025872,92.87
2029224,93.59
2037640,93.64
2040749,93.82
2041535,93.40
2045402,94.11
2053768,94.15
2063939,94.18
2064680,93.94
2068872,94.34
2077208,94.36
2077922,94.19
2086435,94.21
2095206,94.25
2095973,93.54
2101384,94.10
2102173,93.37
2102871,92.63
2103598,91.85
2104228,91.08
2108396,91.48
2112574,92.16
2115736,92.28
2120663,92.82
2123025,92.83
2129239,93.33
2130048,92.54
2130806,91.83
2136121,92.17
2140981,92.88
2144376,93.15
2149545,93.71
2158141,93.75
2170664,93.77
2179628,93.80
2180427,93.41
2189438,93.45
2190314,93.19
2198801,93.22
2199644,92.79
2204571,93.21
2208975,93.27
2212265,93.53
2220951,93.56
2230276,93.59
2239505,93.64
2262044,93.92
2263042,93.22
2266091,93.34
2270233,93.60
2278824,93.64
2289480,93.68
2298527,93.72
2302260,93.91
2311174,93.96
2311958,93.80
2316246,94.07
2317066,94.02
2325878,94.04
2331287,94.28
2334459,94.39
2344006,94.40
2347681,94.56
2357853,94.58
2358653,94.38
2367781,94.41
2370486,94.50
2371350,94.14
2373653,94.22
2376582,94.49
2385538,94.53
2394625,94.55
2403936,94.57
2404909,93.97
2409590,94.41
2420050,94.43
2424200,94.60
2433172,94.63
2442322,94.66
2443079,94.58
2452236,94.60
2461743,94.63
2470918,94.66
2475958,94.85
2484694,94.87
2495653,94.89
2505360,94.93
2509064,95.03
2509896,94.79
2518994,94.81
2521509,94.87
2525205,94.98
2534494,94.99
2544215,95.01
2548019,95.12
2551028,95.21
2551847,95.13
2562464,95.16
2572257,95.17
2581689,95.19
2582476,94.59
2583156,94.37
2583916,94.09
2584680,93.73
