Time(ns),Utilization(%)
2024414,85.22
2030920,85.42
2041203,85.49
2051549,85.56
2063172,85.62
2073600,85.68
2074566,85.18
2085304,85.29
2095845,85.37
2106370,85.51
2116883,85.64
2124190,85.96
2134608,86.09
2135647,85.33
2144101,85.58
2154680,85.69
2165260,85.81
2172402,85.97
2173223,85.26
2179904,85.83
2186253,86.15
2192897,86.42
2193789,85.76
2200041,86.39
2206904,86.45
2217654,86.57
2228270,86.65
2240009,86.70
2250911,86.79
2261713,86.84
2272341,86.89
2280175,87.03
2287467,87.15
2288289,86.79
2299266,86.86
2300239,86.11
2307701,86.63
2308605,86.46
2309361,86.05
2310122,85.61
2320725,85.70
2332983,85.87
2344422,85.96
2355250,86.05
2356280,86.00
2356931,85.69
2363590,86.24
2370727,86.25
2381508,86.36
2382559,86.10
2389749,86.25
2397251,86.49
2404067,86.78
2414786,86.83
2427205,86.89
2428232,86.26
2428913,86.17
2429539,85.38
2436973,85.68
2444186,85.81
2454802,85.90
2465955,86.00
2473464,86.36
2484095,86.43
2491917,86.80
2498825,87.10
2506149,87.18
2506971,86.38
2514385,86.82
2521253,87.14
2529464,87.37
2536776,87.55
2547661,87.64
2559297,87.69
2570752,87.79
2582236,87.88
2593925,87.92
2602156,88.00
2603008,87.67
2611080,87.84
2623555,87.90
2624621,87.77
2625240,87.16
2632576,87.70
2633403,87.36
2644419,87.46
2655979,87.53
2663734,87.74
2664527,87.63
2675435,87.68
2683655,87.70
2684507,87.28
2691647,87.81
2702759,87.87
2703748,87.39
2704318,86.73
2711973,86.78
2712757,86.42
2713481,85.85
2720683,86.37
2729726,86.69
2730621,86.52
2738632,86.89
2746778,87.14
2753982,87.42
2761272,87.69
2772792,87.79
2780716,88.01
2792132,88.07
2793170,87.49
2804611,87.57
2805724,87.30
2806443,87.14
2807177,86.98
2807972,86.97
2816103,87.28
2817050,87.01
2828396,87.10
2837754,87.17
2845377,87.38
2856850,87.48
2864690,87.72
2876021,87.77
2884963,87.89
2896338,87.97
2907925,88.06
2919602,88.11
2927550,88.33
2940234,88.39
2952157,88.47
2960570,88.57
2961313,87.88
2969306,88.31
2981098,88.37
2982147,88.03
2989811,88.36
2998026,88.37
2998863,87.86
2999519,87.33
3010792,87.43
3019619,87.64
3031333,87.72
3044754,87.78
3053668,88.06
3065430,88.14
3077449,88.22
3089587,88.30
3097667,88.58
3105473,88.82
3117259,88.89
3118276,88.66
3126214,88.87
3139245,88.90
3140301,88.85
3141040,88.27
3141720,87.65
3150494,88.10
3158885,88.34
3166843,88.68
3178560,88.74
3179633,88.51
3180339,88.30
3180960,87.78
3181629,87.48
3182227,87.09
3190778,87.38
3191642,86.68
3200005,87.13
3212211,87.20
3220493,87.58
3221421,87.35
3229605,87.40
3230435,87.11
3231089,86.42
3239173,86.86
3273827,86.91
3282594,87.15
3290511,87.43
3291516,87.13
3292165,87.10
3303891,87.15
3316085,87.22
3328248,87.29
3333525,86.60
3342632,87.08
3354838,87.14
3367214,87.21
3381032,87.28
3393664,87.36
3394800,87.03
3402874,87.39
3411361,87.42
3423366,87.47
3435887,87.53
3436873,86.99
3437501,86.67
3438167,86.48
3447056,86.75
3455733,87.07
3467994,87.14
3481449,87.22
3494108,87.29
3506766,87.34
3519273,87.42
3520247,87.26
3520907,86.73
3530359,86.93
3531288,86.66
3543090,86.74
3544085,86.64
3544715,86.39
3554048,86.55
3554892,86.21
3566953,86.29
3568019,86.03
3580668,86.11
3594817,86.17
3607840,86.23
3620592,86.31
3630107,86.40
3630978,86.32
3642932,86.38
3652540,86.39
3664699,86.43
3674406,86.59
3675361,86.43
3687336,86.49
3701217,86.54
3710586,86.55
3711438,86.07
3723848,86.15
3736673,86.23
3746182,86.65
3747096,86.27
3756205,86.55
3765489,86.61
3774359,86.74
3787215,86.79
3788246,86.61
3788907,86.56
3797993,86.67
3798696,86.38
3807876,86.81
3808914,86.70
3822890,86.74
3832251,86.93
3841146,87.04
3853956,87.12
3863486,87.18
3872667,87.29
3885685,87.34
3895058,87.46
3895914,87.01
3905726,87.16
3919030,87.20
3929389,87.33
3930309,87.20
3940492,87.34
3953820,87.38
3954858,87.34
3955518,87.09
3956196,86.81
3956836,86.24
3966509,86.69
3976434,86.89
3977365,86.57
3990083,86.63
4000255,86.64
4009735,86.65
4010662,86.36
4019963,86.42
4029816,86.63
4030880,86.08
4040692,86.20
4049725,86.56
4062785,86.60
4073331,86.82
4074248,86.82
4074805,86.70
4075503,86.64
4076129,86.29
4085569,86.74
4098501,86.80
4099558,86.53
4100134,86.10
4113300,86.16
4114352,86.06
4124492,86.24
4133986,86.48
4147360,86.53
4157914,86.60
4171618,86.64
4181831,86.68
4191366,86.69
4205789,86.76
4206903,86.67
4207528,86.20
4217635,86.46
4228201,86.62
4229094,86.41
4242373,86.46
4256147,86.53
4257156,85.98
4267168,86.29
4280955,86.36
4282049,86.29
4295499,86.36
4304124,86.36
4312950,86.47
4322579,86.67
4336972,86.73
4337978,86.56
4347795,86.76
4361559,86.80
4375632,86.84
4376795,86.41
4386485,86.83
4399973,86.86
4400937,86.49
4410429,86.79
4423584,86.85
4424626,86.47
4438210,86.53
4449596,86.62
4461485,86.74
4471806,86.89
4485499,86.95
4496125,87.02
4509790,87.09
4524206,87.12
4535764,87.22
4536699,87.21
4537494,87.16
4551084,87.22
4562262,87.38
4572683,87.41
4582802,87.54
4597836,87.56
4612293,87.59
4613430,87.33
4614100,86.80
4624478,86.82
4635340,86.87
4646036,87.00
4660061,87.06
4661161,86.79
4671434,86.81
4681416,87.07
4695689,87.13
4710088,87.17
4722056,87.40
4732904,87.50
4733848,87.33
4748071,87.38
4762775,87.42
4777302,87.48
4791827,87.54
4792856,87.44
4803391,87.63
4817700,87.67
4818890,87.65
